"Total DMA List","107 DMA used in this study","Population"
"Casper-Riverton WY","FALSE","146683.5"
"Cheyenne WY-Scottsbluff NE","FALSE","146273.5"
"Ottumwa IA-Kirksville MO","FALSE","130526.5"
"Mankato MN","FALSE","122340.5"
"Fairbanks AK","FALSE","99195.5"
"Victoria TX","FALSE","90532"
"Zanesville OH","FALSE","86039"
"Helena MT","FALSE","72109.5"
"Presque Isle ME","FALSE","69231"
"Not Covered Area in DMAs","FALSE","39657"
"Alpena MI","FALSE","39386"
"North Platte NE","FALSE","39274"
"Juneau AK","FALSE","32213.5"
"Glendive MT","FALSE","13359.5"
